Dataset: iris
Train Samples: 127
Test Samples:  23

=== MODO: NEUROEVOLUTION ===
Inputs: 4 | Outputs: 3
Hidden Layers: 1-4

=== Algoritmo Gen├®tico (Neuroevoluci├│n) Inicializado ===
Poblaci├│n: 50 individuos
Entradas: 4, Salidas: 3
Modo: Neuroevolucion
Capas ocultas: 1-4
Neuronas/capa: 4-64
Tasa mutaci├│n pesos: 0.1
Tasa mutaci├│n arquitectura: 0.05

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 0 | Best: 59.9565 | Avg: 29.0908 | Arch: 4-29-3 | Params: 235
Gen 1 | Best: 59.9565 | Avg: 33.6715 | Arch: 4-29-3 | Params: 235
Gen 2 | Best: 64.6906 | Avg: 34.6659 | Arch: 4-32-54-4-3 | Params: 2177
Gen 3 | Best: 64.6906 | Avg: 32.7175 | Arch: 4-32-54-4-3 | Params: 2177
Gen 4 | Best: 64.6906 | Avg: 38.2578 | Arch: 4-32-54-4-3 | Params: 2177
Gen 5 | Best: 66.5658 | Avg: 43.032 | Arch: 4-43-3 | Params: 347
Gen 6 | Best: 66.6891 | Avg: 42.0556 | Arch: 4-43-3 | Params: 347
Gen 7 | Best: 66.6891 | Avg: 38.9309 | Arch: 4-43-3 | Params: 347
Gen 8 | Best: 66.9157 | Avg: 44.3131 | Arch: 4-43-3 | Params: 347
Gen 9 | Best: 66.9157 | Avg: 43.1493 | Arch: 4-43-3 | Params: 347
Gen 10 | Best: 66.9157 | Avg: 49.2821 | Arch: 4-43-3 | Params: 347
Gen 11 | Best: 66.9157 | Avg: 40.0725 | Arch: 4-43-3 | Params: 347
Gen 12 | Best: 66.9157 | Avg: 41.5117 | Arch: 4-43-3 | Params: 347
Gen 13 | Best: 66.9157 | Avg: 45.5964 | Arch: 4-43-3 | Params: 347
Gen 14 | Best: 67.0376 | Avg: 49.1826 | Arch: 4-43-3 | Params: 347
Gen 15 | Best: 67.0376 | Avg: 47.7322 | Arch: 4-43-3 | Params: 347
Gen 16 | Best: 67.0846 | Avg: 50.432 | Arch: 4-43-3 | Params: 347
Gen 17 | Best: 67.0846 | Avg: 52.6915 | Arch: 4-43-3 | Params: 347
Gen 18 | Best: 67.5193 | Avg: 50.716 | Arch: 4-43-3 | Params: 347
Gen 19 | Best: 72.618 | Avg: 49.6328 | Arch: 4-43-3 | Params: 347
Gen 20 | Best: 72.618 | Avg: 54.8929 | Arch: 4-43-3 | Params: 347
Gen 21 | Best: 81.4985 | Avg: 55.2331 | Arch: 4-43-3 | Params: 347
Gen 22 | Best: 81.4985 | Avg: 58.8208 | Arch: 4-43-3 | Params: 347
Gen 23 | Best: 81.4985 | Avg: 58.2673 | Arch: 4-43-3 | Params: 347
Gen 24 | Best: 83.91 | Avg: 57.7426 | Arch: 4-43-3 | Params: 347
Gen 25 | Best: 83.91 | Avg: 68.4151 | Arch: 4-43-3 | Params: 347
Gen 26 | Best: 86.1106 | Avg: 64.7651 | Arch: 4-43-3 | Params: 347
Gen 27 | Best: 87.3961 | Avg: 67.8106 | Arch: 4-43-3 | Params: 347
Gen 28 | Best: 88.5709 | Avg: 65.9387 | Arch: 4-43-3 | Params: 347
Gen 29 | Best: 88.5709 | Avg: 67.6851 | Arch: 4-43-3 | Params: 347
Gen 30 | Best: 89.2337 | Avg: 71.6766 | Arch: 4-43-3 | Params: 347
Gen 31 | Best: 92.0142 | Avg: 67.5319 | Arch: 4-43-3 | Params: 347
Gen 32 | Best: 92.1236 | Avg: 71.0084 | Arch: 4-43-3 | Params: 347
