Dataset: wine
Train Samples: 1358
Test Samples:  241

=== MODO: NEUROEVOLUTION ===
Inputs: 11 | Outputs: 1
Hidden Layers: 1-4

=== Algoritmo Gen├®tico (Neuroevoluci├│n) Inicializado ===
Poblaci├│n: 50 individuos
Entradas: 11, Salidas: 1
Modo: Neuroevolucion
Capas ocultas: 1-4
Neuronas/capa: 4-64
Tasa mutaci├│n pesos: 0.1
Tasa mutaci├│n arquitectura: 0.05

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 0 | Best: 63.071 | Avg: 46.0351 | Arch: 11-11-1 | Params: 144
Gen 1 | Best: 65.2233 | Avg: 51.4311 | Arch: 11-8-1 | Params: 105
Gen 2 | Best: 68.1322 | Avg: 58.71 | Arch: 11-8-1 | Params: 105
Gen 3 | Best: 68.857 | Avg: 63.8117 | Arch: 11-8-1 | Params: 105
Gen 4 | Best: 68.9763 | Avg: 65.743 | Arch: 11-8-1 | Params: 105
Gen 5 | Best: 69.8898 | Avg: 67.963 | Arch: 11-8-1 | Params: 105
Gen 6 | Best: 70.1873 | Avg: 68.9199 | Arch: 11-8-1 | Params: 105
Gen 7 | Best: 70.6365 | Avg: 69.2772 | Arch: 11-8-1 | Params: 105
Gen 8 | Best: 70.9522 | Avg: 69.1071 | Arch: 11-8-1 | Params: 105
Gen 9 | Best: 71.3923 | Avg: 70.0107 | Arch: 11-8-1 | Params: 105
Gen 10 | Best: 71.5091 | Avg: 70.1792 | Arch: 11-8-1 | Params: 105
Gen 11 | Best: 71.8799 | Avg: 69.8756 | Arch: 11-8-1 | Params: 105
Gen 12 | Best: 71.8799 | Avg: 69.852 | Arch: 11-8-1 | Params: 105
Gen 13 | Best: 71.9968 | Avg: 69.9682 | Arch: 11-8-1 | Params: 105
Gen 14 | Best: 72.1669 | Avg: 70.6233 | Arch: 11-8-1 | Params: 105
Gen 15 | Best: 72.4908 | Avg: 71.255 | Arch: 11-8-1 | Params: 105
Gen 16 | Best: 72.9922 | Avg: 70.9759 | Arch: 11-8-1 | Params: 105
Gen 17 | Best: 72.9922 | Avg: 71.5634 | Arch: 11-8-1 | Params: 105
Gen 18 | Best: 73.1669 | Avg: 71.7292 | Arch: 11-8-1 | Params: 105
Gen 19 | Best: 73.1669 | Avg: 70.9354 | Arch: 11-8-1 | Params: 105
Gen 20 | Best: 73.1669 | Avg: 72.2087 | Arch: 11-8-1 | Params: 105
Gen 21 | Best: 73.1669 | Avg: 72.1045 | Arch: 11-8-1 | Params: 105
Gen 22 | Best: 73.1669 | Avg: 71.8408 | Arch: 11-8-1 | Params: 105
Gen 23 | Best: 73.1669 | Avg: 72.133 | Arch: 11-8-1 | Params: 105
Gen 24 | Best: 73.1669 | Avg: 72.017 | Arch: 11-8-1 | Params: 105
Gen 25 | Best: 73.4352 | Avg: 71.2272 | Arch: 11-8-1 | Params: 105
Gen 26 | Best: 73.4352 | Avg: 72.3052 | Arch: 11-8-1 | Params: 105
Gen 27 | Best: 73.4352 | Avg: 72.2103 | Arch: 11-8-1 | Params: 105
Gen 28 | Best: 73.4352 | Avg: 71.8579 | Arch: 11-8-1 | Params: 105
Gen 29 | Best: 73.4352 | Avg: 72.1977 | Arch: 11-8-1 | Params: 105
Gen 30 | Best: 73.5592 | Avg: 71.6733 | Arch: 11-8-1 | Params: 105
Gen 31 | Best: 73.6759 | Avg: 72.5098 | Arch: 11-8-1 | Params: 105
Gen 32 | Best: 73.6759 | Avg: 72.6729 | Arch: 11-8-1 | Params: 105
Gen 33 | Best: 73.6759 | Avg: 72.0028 | Arch: 11-8-1 | Params: 105
Gen 34 | Best: 73.6759 | Avg: 72 | Arch: 11-8-1 | Params: 105
Gen 35 | Best: 74.1419 | Avg: 72.6128 | Arch: 11-8-1 | Params: 105
Gen 36 | Best: 74.1419 | Avg: 72.4896 | Arch: 11-8-1 | Params: 105
Gen 37 | Best: 74.1419 | Avg: 72.6587 | Arch: 11-8-1 | Params: 105
Gen 38 | Best: 74.1419 | Avg: 72.6364 | Arch: 11-8-1 | Params: 105
Gen 39 | Best: 74.1419 | Avg: 72.7932 | Arch: 11-8-1 | Params: 105
Gen 40 | Best: 74.1419 | Avg: 72.1972 | Arch: 11-8-1 | Params: 105
Gen 41 | Best: 74.1419 | Avg: 72.8058 | Arch: 11-8-1 | Params: 105
Gen 42 | Best: 74.1419 | Avg: 72.7629 | Arch: 11-8-1 | Params: 105
Gen 43 | Best: 74.1419 | Avg: 73.088 | Arch: 11-8-1 | Params: 105
Gen 44 | Best: 74.6093 | Avg: 72.3351 | Arch: 11-8-1 | Params: 105
Gen 45 | Best: 74.6093 | Avg: 72.9785 | Arch: 11-8-1 | Params: 105
