Dataset: cancer
Train Samples: 483
Test Samples:  86

=== MODO: WEIGHTS EVOLUTION ===
Arquitectura: 30-10-1


=== Algoritmo Gen├®tico Inicializado ===
Poblaci├│n: 50 individuos
Arquitectura fija: 30 10 1
Modo: Evoluci├│n de PESOS
Tasa de mutaci├│n: 0.1
├ëlite: 10%

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 0 | Best: 87.7413 | Avg: 51.6132 | Params: 321
Gen 1 | Best: 90.515 | Avg: 63.8049 | Params: 321
Gen 2 | Best: 90.515 | Avg: 68.9435 | Params: 321
Gen 3 | Best: 91.6434 | Avg: 78.459 | Params: 321
Gen 4 | Best: 92.2374 | Avg: 79.0722 | Params: 321
Gen 5 | Best: 92.2374 | Avg: 86.0081 | Params: 321
Gen 6 | Best: 93.6733 | Avg: 82.4437 | Params: 321
Gen 7 | Best: 93.6733 | Avg: 79.804 | Params: 321
Gen 8 | Best: 93.6733 | Avg: 83.3422 | Params: 321
Gen 9 | Best: 93.6733 | Avg: 84.4514 | Params: 321
Gen 10 | Best: 93.6733 | Avg: 82.8628 | Params: 321
Gen 11 | Best: 93.6733 | Avg: 81.18 | Params: 321
Gen 12 | Best: 93.6733 | Avg: 85.5419 | Params: 321
Gen 13 | Best: 94.1957 | Avg: 86.5646 | Params: 321
Gen 14 | Best: 94.8852 | Avg: 87.6065 | Params: 321
Gen 15 | Best: 94.8852 | Avg: 88.5949 | Params: 321
Gen 16 | Best: 94.8852 | Avg: 88.0138 | Params: 321
Gen 17 | Best: 94.8852 | Avg: 89.8165 | Params: 321
Gen 18 | Best: 94.8852 | Avg: 89.1692 | Params: 321
Gen 19 | Best: 95.3055 | Avg: 89.4611 | Params: 321
Gen 20 | Best: 95.3055 | Avg: 90.8238 | Params: 321
Gen 21 | Best: 95.4947 | Avg: 91.4241 | Params: 321
Gen 22 | Best: 95.4947 | Avg: 91.3804 | Params: 321
Gen 23 | Best: 95.4947 | Avg: 91.0743 | Params: 321
Gen 24 | Best: 96.3596 | Avg: 91.6399 | Params: 321
Gen 25 | Best: 96.3596 | Avg: 91.2008 | Params: 321
Gen 26 | Best: 96.3596 | Avg: 91.7812 | Params: 321
Gen 27 | Best: 96.3596 | Avg: 91.1823 | Params: 321
Gen 28 | Best: 96.3596 | Avg: 90.5442 | Params: 321
Gen 29 | Best: 96.3596 | Avg: 91.0604 | Params: 321
Gen 30 | Best: 96.3596 | Avg: 90.4549 | Params: 321
Gen 31 | Best: 96.3596 | Avg: 88.5844 | Params: 321
Gen 32 | Best: 96.3596 | Avg: 90.6669 | Params: 321
Gen 33 | Best: 96.453 | Avg: 89.4671 | Params: 321
Gen 34 | Best: 96.453 | Avg: 89.7001 | Params: 321
Gen 35 | Best: 96.453 | Avg: 89.368 | Params: 321
Gen 36 | Best: 96.453 | Avg: 89.9545 | Params: 321
Gen 37 | Best: 96.453 | Avg: 91.8428 | Params: 321
Gen 38 | Best: 96.453 | Avg: 91.4808 | Params: 321
Gen 39 | Best: 96.453 | Avg: 89.9122 | Params: 321
Gen 40 | Best: 96.453 | Avg: 90.6152 | Params: 321
Gen 41 | Best: 96.453 | Avg: 91.0475 | Params: 321
Gen 42 | Best: 96.453 | Avg: 89.9137 | Params: 321
Gen 43 | Best: 96.453 | Avg: 90.0759 | Params: 321
Gen 44 | Best: 96.453 | Avg: 90.1504 | Params: 321
Gen 45 | Best: 96.453 | Avg: 90.9837 | Params: 321
Gen 46 | Best: 96.453 | Avg: 89.732 | Params: 321
Gen 47 | Best: 96.453 | Avg: 89.4232 | Params: 321
Gen 48 | Best: 96.5827 | Avg: 92.057 | Params: 321
Gen 49 | Best: 96.5827 | Avg: 91.3968 | Params: 321
Gen 50 | Best: 96.5827 | Avg: 91.1718 | Params: 321
Gen 51 | Best: 96.5827 | Avg: 91.4858 | Params: 321
Gen 52 | Best: 96.5827 | Avg: 91.5601 | Params: 321
Gen 53 | Best: 96.5827 | Avg: 91.1743 | Params: 321
