Dataset: iris
Train Samples: 127
Test Samples:  23

=== MODO: WEIGHTS EVOLUTION ===
Arquitectura: 4-10-3


=== Algoritmo Gen├®tico Inicializado ===
Poblaci├│n: 50 individuos
Arquitectura fija: 4 10 3
Modo: Evoluci├│n de PESOS
Tasa de mutaci├│n: 0.1
├ëlite: 10%

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 0 | Best: 63.4419 | Avg: 8.37563 | Params: 83
Gen 1 | Best: 63.4419 | Avg: 13.9283 | Params: 83
Gen 2 | Best: 63.4419 | Avg: 18.1223 | Params: 83
Gen 3 | Best: 63.7662 | Avg: 24.9131 | Params: 83
Gen 4 | Best: 64.9424 | Avg: 32.62 | Params: 83
Gen 5 | Best: 64.9424 | Avg: 35.9932 | Params: 83
Gen 6 | Best: 89.357 | Avg: 47.1096 | Params: 83
Gen 7 | Best: 89.357 | Avg: 53.1567 | Params: 83
Gen 8 | Best: 89.357 | Avg: 49.9591 | Params: 83
Gen 9 | Best: 89.357 | Avg: 49.2457 | Params: 83
Gen 10 | Best: 89.357 | Avg: 43.0663 | Params: 83
Gen 11 | Best: 89.357 | Avg: 42.0385 | Params: 83
Gen 12 | Best: 89.357 | Avg: 45.8469 | Params: 83
Gen 13 | Best: 94.2396 | Avg: 47.803 | Params: 83
Gen 14 | Best: 94.2396 | Avg: 47.617 | Params: 83
Gen 15 | Best: 94.2396 | Avg: 52.5782 | Params: 83
Gen 16 | Best: 94.2396 | Avg: 51.7516 | Params: 83
Gen 17 | Best: 94.2396 | Avg: 50.0839 | Params: 83
Gen 18 | Best: 95.5587 | Avg: 52.748 | Params: 83
Gen 19 | Best: 96.6174 | Avg: 58.2798 | Params: 83
Gen 20 | Best: 96.6174 | Avg: 55.2534 | Params: 83
Gen 21 | Best: 96.6174 | Avg: 63.6108 | Params: 83
Gen 22 | Best: 96.6174 | Avg: 58.4803 | Params: 83
Gen 23 | Best: 96.6174 | Avg: 58.7462 | Params: 83
Gen 24 | Best: 96.6174 | Avg: 57.2085 | Params: 83
Gen 25 | Best: 96.6174 | Avg: 59.7942 | Params: 83
Gen 26 | Best: 96.7345 | Avg: 61.8925 | Params: 83
Gen 27 | Best: 96.7345 | Avg: 65.5724 | Params: 83
Gen 28 | Best: 96.7345 | Avg: 59.7495 | Params: 83
Gen 29 | Best: 96.7345 | Avg: 64.2951 | Params: 83
Gen 30 | Best: 96.7345 | Avg: 67.7053 | Params: 83
Gen 31 | Best: 96.7345 | Avg: 62.8223 | Params: 83
Gen 32 | Best: 96.7345 | Avg: 65.2377 | Params: 83
