Dataset: wine
Train Samples: 1358
Test Samples:  241

=== MODO: WEIGHTS EVOLUTION ===
Arquitectura: 11-10-1


=== Algoritmo Gen├®tico Inicializado ===
Poblaci├│n: 50 individuos
Arquitectura fija: 11 10 1
Modo: Evoluci├│n de PESOS
Tasa de mutaci├│n: 0.1
├ëlite: 10%

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 0 | Best: 65.229 | Avg: 47.7623 | Params: 131
Gen 1 | Best: 66.0598 | Avg: 52.3091 | Params: 131
Gen 2 | Best: 68.0201 | Avg: 55.4326 | Params: 131
Gen 3 | Best: 68.0201 | Avg: 57.002 | Params: 131
Gen 4 | Best: 68.9759 | Avg: 60.4672 | Params: 131
Gen 5 | Best: 69.7991 | Avg: 61.337 | Params: 131
Gen 6 | Best: 69.7991 | Avg: 62.4942 | Params: 131
Gen 7 | Best: 70.7581 | Avg: 65.5882 | Params: 131
Gen 8 | Best: 71.2486 | Avg: 66.5929 | Params: 131
Gen 9 | Best: 71.2486 | Avg: 67.0359 | Params: 131
Gen 10 | Best: 71.2486 | Avg: 68.395 | Params: 131
Gen 11 | Best: 71.3786 | Avg: 68.9526 | Params: 131
Gen 12 | Best: 72.5015 | Avg: 69.1977 | Params: 131
Gen 13 | Best: 72.5015 | Avg: 69.1158 | Params: 131
Gen 14 | Best: 72.5015 | Avg: 68.5779 | Params: 131
Gen 15 | Best: 72.5015 | Avg: 69.2575 | Params: 131
Gen 16 | Best: 72.5631 | Avg: 69.3006 | Params: 131
Gen 17 | Best: 72.6928 | Avg: 69.5263 | Params: 131
Gen 18 | Best: 72.6928 | Avg: 69.6815 | Params: 131
Gen 19 | Best: 72.6928 | Avg: 69.6507 | Params: 131
Gen 20 | Best: 72.6928 | Avg: 69.6461 | Params: 131
Gen 21 | Best: 72.6928 | Avg: 69.8451 | Params: 131
Gen 22 | Best: 72.6928 | Avg: 69.8358 | Params: 131
Gen 23 | Best: 72.8854 | Avg: 69.8376 | Params: 131
Gen 24 | Best: 73.2629 | Avg: 70.3873 | Params: 131
Gen 25 | Best: 73.2629 | Avg: 70.3338 | Params: 131
Gen 26 | Best: 73.2629 | Avg: 70.4316 | Params: 131
Gen 27 | Best: 73.2629 | Avg: 70.692 | Params: 131
Gen 28 | Best: 73.2629 | Avg: 70.7361 | Params: 131
Gen 29 | Best: 73.6426 | Avg: 70.7427 | Params: 131
Gen 30 | Best: 73.6426 | Avg: 70.5854 | Params: 131
Gen 31 | Best: 73.6426 | Avg: 70.6608 | Params: 131
Gen 32 | Best: 73.6426 | Avg: 71.0715 | Params: 131
Gen 33 | Best: 73.6426 | Avg: 70.4646 | Params: 131
Gen 34 | Best: 73.6426 | Avg: 70.669 | Params: 131
Gen 35 | Best: 73.6426 | Avg: 71.3915 | Params: 131
Gen 36 | Best: 73.6426 | Avg: 71.1352 | Params: 131
Gen 37 | Best: 74.685 | Avg: 71.3825 | Params: 131
Gen 38 | Best: 74.685 | Avg: 71.2857 | Params: 131
Gen 39 | Best: 74.685 | Avg: 71.3601 | Params: 131
Gen 40 | Best: 74.685 | Avg: 70.886 | Params: 131
Gen 41 | Best: 74.685 | Avg: 71.2832 | Params: 131
Gen 42 | Best: 74.685 | Avg: 71.2721 | Params: 131
